date,open,high,low,close,volume
2014-02-14,11.0,12.0,11.0,12.0,7100
2014-02-18,12.0,12.0,11.0,11.0,45000
2014-02-19,12.0,12.0,12.0,12.0,1000
2014-02-20,12.0,12.0,12.0,12.0,1000
2014-02-24,12.0,12.0,11.0,11.0,23700
2014-02-25,11.0,12.0,11.0,12.0,26045
2014-02-26,11.0,12.0,11.0,12.0,45049
2014-02-27,12.0,12.0,11.0,11.0,71999
2014-02-28,11.0,12.0,11.0,12.0,182540
2014-03-04,11.0,11.0,11.0,11.0,8395
2014-03-05,11.0,11.0,11.0,11.0,8395
2014-03-06,11.0,11.0,11.0,11.0,38514
2014-03-07,10.0,10.0,10.0,10.0,9220
2014-03-10,11.0,11.0,11.0,11.0,10200
2014-03-11,12.0,13.0,12.0,13.0,59500
2014-03-12,12.0,12.0,12.0,12.0,1000
2014-03-13,12.0,12.0,11.0,12.0,7400
2014-03-14,11.0,11.0,11.0,11.0,5700
2014-03-17,10.0,12.0,10.0,12.0,3700
2014-03-18,10.0,12.0,10.0,12.0,3700
2014-03-19,12.0,12.0,11.0,11.0,18192
2014-03-20,11.0,11.0,10.0,10.0,535
2014-03-21,11.0,11.0,10.0,10.0,535
2014-03-24,10.0,10.0,10.0,10.0,1
2014-03-25,10.0,10.0,10.0,10.0,1
2014-03-26,10.0,11.0,5.0,11.0,12789
2014-03-27,8.0,9.0,8.0,9.0,203
2014-03-28,8.199999809265137,11.0,8.199999809265137,11.0,150
2014-03-31,8.199999809265137,11.0,8.199999809265137,11.0,150
2014-04-01,11.0,11.0,11.0,11.0,0
2014-04-02,11.0,11.0,11.0,11.0,0
2014-04-04,11.0,11.0,11.0,11.0,0
2014-04-07,10.0,10.0,10.0,10.0,2428
2014-04-08,10.0,10.0,10.0,10.0,2428
2014-04-09,11.0,11.0,11.0,11.0,45
2014-04-10,10.0,10.0,10.0,10.0,131
2014-04-11,7.199999809265137,10.0,7.199999809265137,10.0,759
2014-04-14,7.199999809265137,10.0,7.199999809265137,8.100000381469727,1412
2014-04-15,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,1367
2014-04-16,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,1367
2014-04-17,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0
2014-04-21,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0
2014-04-22,8.100000381469727,10.0,8.100000381469727,10.0,58
2014-04-23,8.100000381469727,10.0,8.100000381469727,10.0,58
2014-04-24,10.0,10.0,10.0,10.0,5055
2014-04-25,10.0,10.0,10.0,10.0,5055
2014-04-28,10.0,10.0,10.0,10.0,0
2014-04-29,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,5000
2014-04-30,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,5000
2014-05-01,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,5000
2014-05-02,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,5000
2014-05-05,10.0,10.0,10.0,10.0,8050
2014-05-06,10.0,10.0,10.0,10.0,7000
2014-05-07,10.0,10.0,10.0,10.0,7000
2014-05-08,10.0,10.0,10.0,10.0,0
2014-05-09,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,4000
2014-05-12,8.199999809265137,9.899999618530273,8.199999809265137,9.899999618530273,200
2014-05-13,9.899999618530273,9.899999618530273,8.199999809265137,8.199999809265137,13039
2014-05-14,8.0,9.800000190734863,8.0,9.800000190734863,1400
2014-05-15,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,1000
2014-05-16,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,1000
2014-05-19,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,6500
2014-05-20,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,6500
2014-05-21,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0
2014-05-22,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0
2014-05-23,8.199999809265137,9.0,8.199999809265137,9.0,5100
2014-05-27,9.0,9.0,9.0,9.0,12000
2014-05-28,8.600000381469727,8.600000381469727,8.5,8.5,3600
2014-05-29,8.600000381469727,8.600000381469727,8.5,8.5,3600
2014-05-30,8.0,8.0,8.0,8.0,25000
2014-06-02,9.0,9.0,9.0,9.0,7000
2014-06-03,9.0,9.0,9.0,9.0,7000
2014-06-04,8.0,8.0,7.599999904632568,7.599999904632568,25000
2014-06-05,8.899999618530273,9.0,8.899999618530273,9.0,8400
2014-06-06,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,2400
2014-06-09,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,0
2014-06-10,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,0
2014-06-11,9.0,9.0,9.0,9.0,1340
2014-06-12,9.0,9.0,9.0,9.0,0
2014-06-13,9.0,9.0,9.0,9.0,2000
2014-06-16,9.0,9.0,9.0,9.0,0
2014-06-17,9.0,9.0,9.0,9.0,0
2014-06-18,8.0,8.300000190734863,8.0,8.300000190734863,7161
2014-06-19,8.0,8.0,8.0,8.0,23500
2014-06-20,8.0,8.0,8.0,8.0,0
2014-06-23,8.699999809265137,8.699999809265137,8.699999809265137,8.699999809265137,1000
2014-06-24,8.699999809265137,8.699999809265137,8.699999809265137,8.699999809265137,0
2014-06-25,8.699999809265137,8.699999809265137,8.699999809265137,8.699999809265137,400
2014-06-26,8.699999809265137,9.0,8.699999809265137,9.0,8550
2014-06-27,9.0,9.0,9.0,9.0,7260
2014-06-30,9.0,9.0,7.099999904632568,7.099999904632568,18825
2014-07-01,8.300000190734863,8.300000190734863,8.300000190734863,8.300000190734863,2775
2014-07-02,8.800000190734863,8.899999618530273,8.800000190734863,8.899999618530273,1900
2014-07-03,8.899999618530273,8.899999618530273,8.800000190734863,8.800000190734863,6000
2014-07-07,10.0,10.0,9.0,9.0,67830
2014-07-08,9.0,9.0,9.0,9.0,4400
2014-07-09,10.0,10.0,9.5,9.5,26700
2014-07-10,9.5,9.5,9.5,9.5,1000
2014-07-11,9.0,9.0,9.0,9.0,3500
2014-07-14,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,2500
2014-07-15,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,0
2014-07-16,10.0,10.0,10.0,10.0,1000
2014-07-17,9.5,9.5,9.5,9.5,18500
2014-07-18,9.5,9.5,9.5,9.5,0
2014-07-21,9.5,9.5,9.5,9.5,0
2014-07-22,9.5,9.5,9.5,9.5,0
2014-07-23,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,50
2014-07-24,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,0
2014-07-25,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,0
2014-07-28,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,0
2014-07-29,9.0,9.0,9.0,9.0,1000
2014-07-30,9.0,9.0,9.0,9.0,0
2014-07-31,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,50000
2014-08-01,7.5,7.5,7.5,7.5,2000
2014-08-04,7.5,7.5,7.5,7.5,0
2014-08-05,7.5,7.5,7.5,7.5,0
2014-08-06,7.5,7.5,7.5,7.5,0
2014-08-07,7.300000190734863,7.300000190734863,7.300000190734863,7.300000190734863,1750
2014-08-08,7.0,7.0,7.0,7.0,100
2014-08-11,7.0,7.0,7.0,7.0,0
2014-08-12,7.0,7.0,7.0,7.0,0
2014-08-13,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,1674
2014-08-14,6.699999809265137,8.0,6.699999809265137,8.0,38284
2014-08-15,8.0,8.0,8.0,8.0,0
2014-08-18,8.0,8.0,8.0,8.0,0
2014-08-19,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,1000
2014-08-20,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,0
2014-08-21,8.0,8.0,8.0,8.0,1000
2014-08-22,7.699999809265137,7.699999809265137,7.699999809265137,7.699999809265137,550
2014-08-25,7.0,7.0,7.0,7.0,4059
2014-08-26,6.699999809265137,6.699999809265137,6.0,6.0,31520
2014-08-27,6.0,6.0,6.0,6.0,2000
2014-08-28,6.0,6.0,6.0,6.0,0
2014-08-29,5.0,5.0,5.0,5.0,66513
2014-09-02,6.0,6.0,6.0,6.0,4200
2014-09-03,6.0,6.0,6.0,6.0,5000
2014-09-04,6.099999904632568,6.099999904632568,6.099999904632568,6.099999904632568,1300
2014-09-05,6.5,6.5,6.5,6.5,111
2014-09-08,6.5,6.5,6.5,6.5,0
2014-09-09,6.699999809265137,7.0,6.699999809265137,7.0,1066
2014-09-10,6.099999904632568,6.099999904632568,6.099999904632568,6.099999904632568,35244
2014-09-11,6.099999904632568,6.099999904632568,6.099999904632568,6.099999904632568,15594
2014-09-12,5.900000095367432,5.900000095367432,5.900000095367432,5.900000095367432,1500
2014-09-15,5.900000095367432,5.900000095367432,5.900000095367432,5.900000095367432,0
2014-09-16,6.300000190734863,6.300000190734863,6.300000190734863,6.300000190734863,1940
2014-09-17,5.900000095367432,5.900000095367432,5.900000095367432,5.900000095367432,500
2014-09-18,5.900000095367432,5.900000095367432,5.900000095367432,5.900000095367432,0
2014-09-19,5.900000095367432,5.900000095367432,5.900000095367432,5.900000095367432,250
2014-09-22,5.900000095367432,5.900000095367432,5.900000095367432,5.900000095367432,0
2014-09-23,5.900000095367432,5.900000095367432,5.900000095367432,5.900000095367432,0
2014-09-24,6.0,6.0,6.0,6.0,5300
2014-09-25,6.0,6.0,6.0,6.0,0
2014-09-26,7.0,7.0,7.0,7.0,6396
2014-09-29,7.699999809265137,7.699999809265137,7.0,7.0,4715
2014-09-30,7.599999904632568,8.0,7.599999904632568,8.0,2310
2014-10-01,8.0,8.0,8.0,8.0,200
2014-10-02,7.699999809265137,7.900000095367432,7.699999809265137,7.900000095367432,4434
2014-10-03,7.900000095367432,7.900000095367432,7.900000095367432,7.900000095367432,0
2014-10-06,7.900000095367432,8.0,7.900000095367432,7.900000095367432,35500
2014-10-07,7.900000095367432,7.900000095367432,7.199999809265137,7.900000095367432,6216
2014-10-08,7.900000095367432,8.100000381469727,7.900000095367432,8.100000381469727,22100
2014-10-09,8.0,8.5,8.0,8.5,11020
2014-10-10,8.0,8.0,8.0,8.0,925
2014-10-13,8.5,8.5,8.0,8.0,200
2014-10-14,8.0,8.0,8.0,8.0,0
2014-10-15,8.0,8.0,8.0,8.0,0
2014-10-16,8.0,8.0,8.0,8.0,0
2014-10-17,7.0,7.5,7.0,7.5,4480
2014-10-20,7.5,7.5,7.5,7.5,200
2014-10-21,7.0,7.0,7.0,7.0,1316
2014-10-22,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,100
2014-10-23,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,0
2014-10-24,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,0
2014-10-27,7.0,7.0,6.0,6.0,628
2014-10-28,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,100
2014-10-29,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,0
2014-10-30,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,0
2014-10-31,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,0
2014-11-03,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,0
2014-11-04,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,0
2014-11-05,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,0
2014-11-06,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,0
2014-11-07,6.800000190734863,7.0,6.800000190734863,7.0,3400
2014-11-10,5.5,5.5,5.5,5.5,2666
2014-11-11,5.5,6.5,5.5,6.5,1334
2014-11-12,5.5,6.0,5.5,6.0,4556
2014-11-13,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,160
2014-11-14,6.0,6.0,6.0,6.0,50
2014-11-17,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,100
2014-11-18,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,10000
2014-11-19,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,11906
2014-11-20,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,0
2014-11-21,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,20000
2014-11-24,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,0
2014-11-25,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,10550
2014-11-26,6.0,6.0,6.0,6.0,10000
2014-11-28,6.0,6.0,6.0,6.0,0
2014-12-01,6.800000190734863,9.0,6.800000190734863,8.199999809265137,21345
2014-12-02,8.899999618530273,8.899999618530273,8.800000190734863,8.800000190734863,10850
2014-12-03,8.5,8.5,8.5,8.5,50055
2014-12-04,8.5,10.0,8.5,9.0,58100
